application_id,annual_income,cibil_score,foir_ratio,employment_years,loan_amount,loan_to_value,social_category,religion,gender,age,pin_code,approval_probability,approved
APP-04728,589296.0,694.0,0.547,1.3,374776.0,0.535,General,Sikh,Male,34.0,560103,0.581,1
APP-02317,865764.0,693.0,0.202,12.3,643164.0,0.788,OBC,Hindu,Female,46.0,110002,0.6696,1
APP-03670,1070833.0,690.0,0.398,7.0,1787989.0,0.708,General,Hindu,Female,25.0,400001,0.7662,1
APP-01213,911213.0,611.0,0.504,8.3,631724.0,0.818,SC,Hindu,Female,33.0,110001,0.2248,0
APP-03033,540774.0,721.0,0.487,11.5,381403.0,0.668,SC,Hindu,Male,39.0,110002,0.5168,0
APP-03249,1546778.0,660.0,0.379,5.6,1842074.0,0.716,SC,Hindu,Female,40.0,380015,0.6503,1
APP-04245,1117469.0,692.0,0.367,3.9,1061192.0,0.56,ST,Christian,Female,35.0,600001,0.6863,1
APP-01770,3000000.0,682.0,0.311,6.8,5321527.0,0.533,ST,Hindu,Male,32.0,700091,0.8257,1
APP-02595,447494.0,709.0,0.55,15.9,200000.0,0.415,ST,Hindu,Female,21.0,500001,0.5747,1
APP-01558,1470741.0,624.0,0.252,10.1,2088347.0,0.68,OBC,Muslim,Female,37.0,110004,0.556,1
APP-00297,1159509.0,719.0,0.314,2.1,875642.0,0.577,OBC,Muslim,Female,43.0,411001,0.7736,0
APP-00200,921529.0,660.0,0.456,2.3,1655711.0,0.533,ST,Hindu,Male,38.0,302001,0.5696,1
APP-01906,559643.0,722.0,0.474,9.6,610023.0,0.592,General,Hindu,Male,23.0,110003,0.6339,1
APP-02025,513381.0,653.0,0.643,4.3,478775.0,0.88,OBC,Hindu,Female,31.0,400001,0.1781,0
APP-03615,400000.0,699.0,0.474,8.2,652472.0,0.702,OBC,Hindu,Male,36.0,110003,0.4195,1
APP-04067,662289.0,774.0,0.443,7.0,818709.0,0.711,OBC,Hindu,Female,42.0,380001,0.8383,0
APP-03104,1692695.0,620.0,0.303,21.6,2686829.0,0.891,SC,Hindu,Female,51.0,411001,0.6469,0
APP-01944,400000.0,788.0,0.538,15.6,617264.0,0.464,OBC,Hindu,Female,51.0,500081,0.837,0
APP-02727,636097.0,842.0,0.45,1.4,268263.0,0.481,OBC,Hindu,Male,42.0,400001,0.9725,1
APP-01700,1107180.0,843.0,0.559,5.8,1418417.0,0.417,ST,Muslim,Female,26.0,560001,0.7025,1
APP-00030,1240371.0,733.0,0.518,4.8,1151987.0,0.821,OBC,Hindu,Female,31.0,380015,0.8065,1
APP-02212,1631978.0,630.0,0.527,22.9,583814.0,0.412,General,Muslim,Female,38.0,110003,0.5915,1
APP-02068,983961.0,764.0,0.411,9.9,1144610.0,0.466,General,Muslim,Male,21.0,411001,0.8674,1
APP-03167,645307.0,707.0,0.276,3.1,660475.0,0.661,ST,Hindu,Female,36.0,560103,0.6358,1
APP-04249,730767.0,624.0,0.256,7.9,983458.0,0.824,OBC,Sikh,Male,29.0,411001,0.5103,1
APP-00721,953049.0,689.0,0.619,7.4,1484962.0,0.566,General,Hindu,Female,26.0,110002,0.5444,0
APP-00249,3000000.0,738.0,0.645,3.3,4268805.0,0.459,OBC,Hindu,Male,28.0,411045,0.97,1
APP-01520,400000.0,877.0,0.358,5.5,256061.0,0.635,General,Hindu,Male,22.0,400001,0.9757,1
APP-00423,742895.0,611.0,0.336,14.0,1109709.0,0.8,SC,Muslim,Male,38.0,302001,0.3555,1
APP-02073,400000.0,749.0,0.428,13.0,225316.0,0.613,ST,Muslim,Male,24.0,110002,0.5093,1
APP-00585,1429319.0,652.0,0.535,11.6,2568704.0,0.719,SC,Hindu,Male,45.0,400050,0.6222,1
APP-04878,1335358.0,744.0,0.6,11.3,1582735.0,0.697,ST,Hindu,Male,35.0,500081,0.7799,1
APP-01398,912790.0,761.0,0.307,13.9,1759541.0,0.846,General,Hindu,Female,60.0,400050,0.7767,1
APP-02896,545966.0,763.0,0.573,4.5,670790.0,0.404,General,Hindu,Male,26.0,560103,0.8529,1
APP-01865,1155973.0,685.0,0.375,5.9,1348808.0,0.663,OBC,Hindu,Female,21.0,380001,0.7835,0
APP-01653,1307541.0,676.0,0.546,21.7,1693340.0,0.429,General,Hindu,Male,44.0,302001,0.9004,1
APP-04784,1169508.0,793.0,0.455,10.8,1152386.0,0.831,OBC,Muslim,Female,36.0,600042,0.8076,1
APP-00658,1092751.0,796.0,0.389,2.0,392172.0,0.481,OBC,Muslim,Female,33.0,500001,0.8178,1
APP-02146,706712.0,749.0,0.479,2.8,944106.0,0.593,OBC,Hindu,Female,45.0,110001,0.6526,1
APP-02487,1055012.0,680.0,0.641,11.2,1597607.0,0.729,OBC,Hindu,Female,41.0,110005,0.5078,0
APP-03568,551468.0,874.0,0.434,10.4,1005716.0,0.888,OBC,Hindu,Male,45.0,500001,0.9739,1
APP-00024,925645.0,742.0,0.2,12.0,1441619.0,0.801,General,Hindu,Male,37.0,110004,0.779,1
APP-00066,1486871.0,813.0,0.611,1.7,2802094.0,0.777,General,Hindu,Male,32.0,110004,0.79,1
APP-04120,692956.0,706.0,0.417,21.7,226669.0,0.412,ST,Hindu,Female,48.0,560103,0.7147,1
APP-03154,935182.0,638.0,0.552,10.0,501194.0,0.67,SC,Hindu,Female,56.0,400050,0.4114,0
APP-01515,431209.0,719.0,0.408,5.4,776260.0,0.555,OBC,Hindu,Male,41.0,411001,0.7088,0
APP-02489,1991460.0,721.0,0.216,11.8,2407375.0,0.642,SC,Hindu,Female,21.0,560001,0.7753,1
APP-00965,982352.0,802.0,0.283,4.8,832828.0,0.571,General,Muslim,Female,33.0,110001,0.6739,0
APP-00229,652710.0,680.0,0.391,10.4,657820.0,0.667,General,Muslim,Male,33.0,110004,0.5169,1
APP-00634,400000.0,819.0,0.437,4.3,319149.0,0.6,OBC,Hindu,Male,32.0,110003,0.7513,1
APP-00808,536814.0,642.0,0.218,26.8,376098.0,0.745,General,Hindu,Female,50.0,600042,0.6666,0
APP-04654,799290.0,710.0,0.398,4.3,1369930.0,0.802,OBC,Hindu,Male,37.0,380015,0.7674,1
APP-04307,1138607.0,707.0,0.246,6.7,1643505.0,0.837,OBC,Hindu,Male,36.0,500001,0.8992,1
APP-03607,438722.0,755.0,0.343,5.6,796601.0,0.755,OBC,Hindu,Female,35.0,400050,0.7506,1
APP-00241,645048.0,779.0,0.334,6.5,234560.0,0.856,SC,Hindu,Female,31.0,700001,0.7206,1
APP-00180,1153630.0,551.0,0.31,3.2,1634920.0,0.638,OBC,Hindu,Female,21.0,500081,0.3214,0
APP-04512,918814.0,709.0,0.212,19.2,1313193.0,0.734,OBC,Hindu,Male,38.0,500001,0.9369,1
APP-01375,987925.0,827.0,0.399,28.1,725016.0,0.512,General,Hindu,Female,24.0,110001,0.7581,0
